Tempo,Dynamics Range,Vocal Presence,Percussion Strength,String Instrument Detection,Electronic Element Presence,Rhythm Complexity,Drums Influence,Distorted Guitar,Metal Frequencies,Ambient Sound Influence,Instrumental Overlaps,Genre
114.6183537,57.97636721,53.25176598,99.06183976,14.68676817,17.62862957,46.54552236,75.83943415,79.37889215,71.75308828,96.43966541,53.77176285,Country
116.672803,69.38708703,95.78728003,90.83103273,47.28041881,-15.61819417,85.42108513,100.4559081,0.71301485,0,17.32729503,15.01714632,Classical
128.3281209,52.93067694,65.70118717,104.439247,5.984993767,50.4673879,18.00672211,77.64291298,80.65294569,87.69211003,95.12520687,25.30802047,Rock
128.5113367,25.49475475,14.09537429,40.10612979,47.71558448,87.33520145,68.60332915,63.53655679,74.88834566,76.23910759,97.01699802,96.89310915,Hip-hop
135.4741896,45.17487622,101.4698723,70.00220267,108.1776371,25.86559046,31.29516304,81.12103015,36.17819257,23.38154181,53.75379312,30.14298631,Country
125.3964156,55.48953059,36.66001551,42.62275414,28.11425813,49.19828505,20.26895822,53.6031618,51.71976872,46.74894545,40.07258356,54.25372548,Rock
126.2662889,33.17063216,34.43181201,31.2614152,47.92150068,118.1729447,13.81131028,53.25289391,45.40428274,50.94033928,94.44840595,82.86553779,Hip-hop
102.8727225,37.40168529,58.25502217,65.08239029,107.2010745,60.41582305,68.35257572,83.94327562,44.40168776,52.93528477,66.92802591,4.293606187,Country
103.6512964,69.98367019,98.09730298,77.51483179,54.30774648,17.60022102,3.856742743,50.3652872,70.14080954,53.43814138,7.108157745,1.772224413,Country
111.256855,41.98772925,102.0472968,89.80380709,93.42311003,14.97825128,11.66779186,80.93646356,43.4232246,52.91895721,44.50952092,26.36223883,Country
97.15331369,28.52286735,11.01165173,23.09160067,27.29616261,14.01306471,38.07130018,38.50065283,3.143237607,1.272741102,44.81144328,93.24332387,Classical
110.2955813,37.24921272,32.26606205,70.83061916,96.7690769,79.40538974,5.409117632,58.62287491,3.716923417,11.27491796,71.42467568,40.76171637,Hip-hop
111.0447697,41.95290407,96.91846619,68.00408728,53.85655131,93.54952127,47.31588787,72.77716389,41.20574554,38.03072618,6.764814039,81.88211124,Hip-hop
104.3898217,65.82650948,45.85540984,55.65553343,76.05884466,55.6253151,25.31258544,59.20281822,0.920308475,0,94.30888866,27.44104606,
102.5478957,51.48894682,4.10481183,79.56328958,27.04199431,34.39560696,46.8983366,82.83330538,82.6661727,84.81669565,72.5850538,79.35443347,Rock
107.5794625,38.68813684,88.80353619,58.37402745,79.29463612,80.50105588,26.41937853,74.29172099,99.58642878,100,86.5128989,64.48314555,Hip-hop
114.1572774,63.01502778,29.08533112,62.95658889,17.28636165,78.09987682,64.1311845,80.47620636,57.96035698,60.69848305,95.32719699,87.49313649,Rock
91.51719688,56.89545341,35.10464493,92.06498463,46.10190643,0.136780683,78.52256824,83.68537287,77.8324356,74.86112666,17.15030976,80.76243856,Jazz
101.3671522,47.84336951,93.23034701,67.10177717,20.93216269,50.77228763,30.34831248,62.95016534,64.46275483,68.97194388,21.69007061,94.7173147,
126.7520187,64.88851486,41.99308052,34.46777695,24.61965339,46.58448255,59.61221237,72.71507492,1.882022088,19.38510659,46.89236612,59.95166946,Classical
163.0756234,46.23809948,94.55256821,49.93022219,6.688698628,6.436926026,51.61757428,84.48923667,58.75506633,62.65699136,85.25785108,68.31598954,Rock
139.2535604,36.63008439,38.88061162,67.25676107,74.20159762,66.29022166,32.13542151,77.35328713,61.14341435,74.40080888,8.627375678,34.82222426,Hip-hop
85.13053916,55.70710839,81.14961529,21.47342496,14.9592079,61.01728328,64.00015225,43.3328462,70.45587917,79.05359778,20.42061854,99.4994984,
102.8785255,44.19947044,70.61791318,43.88348908,12.55978235,99.26836352,86.03924235,91.59941148,97.93544432,87.35910214,49.14693614,12.75839589,Country
118.818714,64.13505166,75.78719074,89.22805265,29.88077284,-3.344332152,77.42687006,96.79775771,1.441272162,0,82.2405537,68.07644016,Classical
128.5573038,16.50795304,90.26600318,6.768147191,89.03660108,51.98678846,57.83187806,51.92444705,80.91767357,85.60578486,1.676368239,40.43371668,Country
141.6410778,57.62004492,7.620996767,78.41582477,69.46394917,12.4012669,20.10050955,76.75594261,46.98011871,33.16780996,94.34828116,92.77992311,Jazz
113.9169294,37.71310675,49.11787266,64.65898373,56.6139695,11.77252273,83.64664051,83.60955703,58.12474053,47.04083434,15.44967468,91.04728998,Jazz
